depth,number,gram
13.9,190,11.6222
19.5,233,2.6982
19.6,128,1.963
19.8,624,4.3799
19.9,562,7.2632
20,38,2.6353
20.1,74,2.5961
20.2,122,2.9911
20.3,80,10.1002
20.4,64,2.6253
20.5,0,2.275
20.5,7,2.6529
20.6,98,2.6196
20.7,154,2.9031
20.8,81,3.3466
20.9,518,2.1004
21,116,1.2797
21.1,72,2.9792
21.2,49,2.3301
21.3,156,5.32
21.4,133,5.5901
21.5,223,3.0348
21.6,153,3.0655
21.7,104,2.2007
21.8,88,2.7105
21.9,44,3.8146
22,17,2.8742
22.1,4,5.2026
22.2,12,3.3949
22.3,19,3.849
22.4,32,2.1153
22.5,173,2.071
22.6,15,5.7846
22.7,11,6.5779
22.8,3,1.588
22.9,21,3.3035
23,42,3.668
23.1,99,2.8149
23.2,34,1.5527
23.3,26,2.8139
23.4,3,8.4201
23.5,48,3.34
23.6,8,3.5989
23.7,41,5.0222
23.8,24,5.7082
24.2,24,6.3879
29.2,311,4.1697
34.2,71,4.8604
34.9,22,3.9503
41.5,600,1.529
